"","lake","year","spp","N","density","sd","se","ci"
"1","Crystal",2001,"rainbow smelt",18,1747.15143399548,2668.05964304368,628.867688735449,1326.79484609008
"2","Crystal",2001,"yellow perch",18,0,0,0,0
"3","Crystal",2002,"rainbow smelt",18,2425.7562256747,4414.61862663612,1040.53558908228,2195.33819513576
"4","Crystal",2002,"yellow perch",18,0,0,0,0
"5","Crystal",2003,"rainbow smelt",19,1478.58167298939,2577.34413406999,591.283295954654,1242.2401084975
"6","Crystal",2003,"yellow perch",19,0,0,0,0
"7","Crystal",2005,"rainbow smelt",18,858.237376670522,1013.17197773394,238.806925321285,503.838571137324
"8","Crystal",2005,"yellow perch",18,0,0,0,0
"9","Crystal",2006,"rainbow smelt",18,2832.85804160439,4408.11264302773,1039.00211403969,2192.10284560268
"10","Crystal",2006,"yellow perch",18,0,0,0,0
"11","Crystal",2007,"rainbow smelt",18,4059.40248655581,8243.56504916254,1943.02691580508,4099.42845511499
"12","Crystal",2007,"yellow perch",18,0,0,0,0
"13","Crystal",2008,"rainbow smelt",17,527.885136591875,1094.73522789396,265.512292746554,562.860916401804
"14","Crystal",2008,"yellow perch",17,10.7731660526889,22.341535262268,5.41861821910544,11.4869574771385
"15","Crystal",2009,"rainbow smelt",24,1848.37111889074,4352.03048317096,888.354502400582,1837.70130214099
"16","Crystal",2009,"yellow perch",24,0,0,0,0
"17","Crystal",2010,"rainbow smelt",18,1301.58297536145,1937.94466980876,456.777939195366,963.717211724983
"18","Crystal",2010,"yellow perch",18,64.1913954284381,95.5754454151726,22.5273485226644,47.5285508403977
"19","Crystal",2011,"rainbow smelt",17,4594.47048992167,10169.9621317651,2466.57812222348,5228.91203224477
"20","Crystal",2011,"yellow perch",17,231.653974290453,512.771199944384,124.365283479142,263.642623486586
"21","Crystal",2012,"rainbow smelt",17,3770.18754625036,7526.98427582038,1825.56183597475,3870.01821013895
"22","Crystal",2012,"yellow perch",17,190.093489726677,379.511812227003,92.0451345871476,195.126968578828
"23","Crystal",2013,"rainbow smelt",19,2444.69391922812,3409.77855207603,782.256848860624,1643.46065490079
"24","Crystal",2013,"yellow perch",19,198.218425874469,276.46853124969,63.426230988764,133.253566613713
"25","Crystal",2014,"rainbow smelt",18,2921.7299427706,4321.09660910287,1018.49223815295,2148.83078995741
"26","Crystal",2014,"yellow perch",18,29.5124236649271,43.6474404954992,10.2878003852679,21.7053615144779
"27","Crystal",2015,"rainbow smelt",19,145.150107685969,266.55217384615,61.1512625777081,128.474035338074
"28","Crystal",2015,"yellow perch",19,68.3059330288899,125.436317102109,28.7770647420007,60.4583695699127
"29","Crystal",2016,"rainbow smelt",19,469.297611252745,779.298543576376,178.783347278834,375.609874726171
"30","Crystal",2016,"yellow perch",19,103.016548808696,171.065533950127,39.2451250111279,82.4509481078933
"31","Crystal",2017,"rainbow smelt",19,75.4921987925074,126.97007972866,29.1289340205542,61.1976194925093
"32","Crystal",2017,"yellow perch",19,46.2694121616251,77.8203714379808,17.8532176235241,37.5082183944815
"33","Crystal",2018,"rainbow smelt",30,149.727683254517,289.967948752921,52.9406621618256,108.275811527499
"34","Crystal",2018,"yellow perch",30,122.504468125213,237.24650353517,43.3150872251473,88.5893003444349
"35","Crystal",2019,"rainbow smelt",20,57.7481510622759,123.516306098835,27.6190856766668,57.8074106820276
"36","Crystal",2019,"yellow perch",20,60.1052184521415,128.55778798176,28.746395296422,60.1668968329412
"37","Crystal",2020,"rainbow smelt",15,61.2884804097301,26.7104759880236,6.89661524472589,14.7917685685791
"38","Crystal",2020,"yellow perch",15,77.373239976287,33.7204651622374,8.70658666664753,18.6737711798283
"39","Sparkling",2001,"rainbow smelt",18,9321.49446730063,16455.0815919674,3878.49992621936,8182.91956296298
"40","Sparkling",2001,"walleye",18,0,0,0,0
"41","Sparkling",2002,"rainbow smelt",18,7180.44469181107,12261.9835318483,2890.17723538923,6097.74095392343
"42","Sparkling",2002,"walleye",18,0,0,0,0
"43","Sparkling",2003,"rainbow smelt",18,9626.3137786884,25014.1889092929,5895.90086788077,12439.2634964158
"44","Sparkling",2003,"walleye",18,0,0,0,0
"45","Sparkling",2004,"rainbow smelt",18,14.1295692605227,17.5499963093686,4.13657380005113,8.72740784220504
"46","Sparkling",2004,"walleye",18,0,0,0,0
"47","Sparkling",2005,"rainbow smelt",17,2682.42354213654,3573.51499739378,866.704693469609,1837.33187254616
"48","Sparkling",2005,"walleye",17,0,0,0,0
"49","Sparkling",2006,"rainbow smelt",16,9627.74692593461,9723.68531296298,2430.92132824074,5181.3861603703
"50","Sparkling",2006,"walleye",16,0,0,0,0
"51","Sparkling",2007,"rainbow smelt",34,4559.08275093143,7155.85571154608,1227.21913001409,2496.79609333614
"52","Sparkling",2007,"walleye",34,0,0,0,0
"53","Sparkling",2008,"rainbow smelt",17,4.85298575400072,3.45654223402749,0.83833463119434,1.77719002718958
"54","Sparkling",2008,"walleye",17,0.150092342256591,0.10690336690391,0.0259278749105282,0.0549646394203745
"55","Sparkling",2009,"rainbow smelt",17,18258.824332111,28297.0900449912,6863.05242077133,14549.0211956264
"56","Sparkling",2009,"walleye",17,0,0,0,0
"57","Sparkling",2010,"rainbow smelt",16,2297.37771735309,2696.55182394112,674.13795598528,1436.89103992942
"58","Sparkling",2010,"walleye",16,0,0,0,0
"59","Sparkling",2011,"rainbow smelt",17,7816.72279256178,13713.9550610255,3326.12266244601,7051.0650579792
"60","Sparkling",2011,"walleye",17,0,0,0,0
"61","Sparkling",2012,"rainbow smelt",17,5124.17755717728,9424.76411709851,2285.84105596049,4845.76656770815
"62","Sparkling",2012,"walleye",17,327.075163224275,601.580688325867,145.904748252902,309.304249002869
"63","Sparkling",2013,"rainbow smelt",17,1588.46776337382,1416.78109883739,343.619889346188,728.441624342805
"64","Sparkling",2013,"walleye",17,176.496418148017,157.420122087194,38.1799877037134,80.9379582573044
"65","Sparkling",2014,"rainbow smelt",17,4847.22898328145,5180.56421678414,1256.4713803586,2663.60033754205
"66","Sparkling",2014,"walleye",17,0,0,0,0
"67","Sparkling",2015,"rainbow smelt",17,3622.59268756352,3222.93548496547,781.676672297878,1657.08051988191
"68","Sparkling",2015,"walleye",17,0,0,0,0
"69","Sparkling",2016,"rainbow smelt",18,4931.43277183284,6418.52707249968,1512.86133939799,3191.85842096365
"70","Sparkling",2016,"walleye",18,0,0,0,0
"71","Sparkling",2017,"rainbow smelt",19,3382.95617182425,3675.20936874713,843.150854459086,1771.39421338116
"72","Sparkling",2017,"walleye",19,0,0,0,0
"73","Sparkling",2018,"rainbow smelt",36,18.7034808918951,30.0277540243564,5.00462567072607,10.1599302520662
"74","Sparkling",2018,"walleye",36,260.452950335611,418.147679212567,69.6912798687612,141.480819791486
"75","Sparkling",2019,"rainbow smelt",19,1159.28789803784,1524.00490263063,349.630703159341,734.546850212431
"76","Sparkling",2019,"walleye",19,0,0,0,0
"77","Sparkling",2020,"rainbow smelt",30,1234.85750029282,453.572255021856,82.8105851779855,169.366663488371
"78","Sparkling",2020,"walleye",30,0,0,0,0
"79","Trout",2001,"cisco",32,3972.93853817376,5311.06680158973,938.872837684711,1914.84377691432
"80","Trout",2001,"lake trout",32,0,0,0,0
"81","Trout",2001,"lake whitefish",32,0,0,0,0
"82","Trout",2001,"walleye",32,0,0,0,0
"83","Trout",2001,"white bass",32,0,0,0,0
"84","Trout",2001,"yellow perch",32,0,0,0,0
"85","Trout",2002,"cisco",32,2983.89170915315,4375.57840072074,773.500289690756,1577.56424161581
"86","Trout",2002,"lake trout",32,0,0,0,0
"87","Trout",2002,"lake whitefish",32,0,0,0,0
"88","Trout",2002,"walleye",32,0,0,0,0
"89","Trout",2002,"white bass",32,0,0,0,0
"90","Trout",2002,"yellow perch",32,0,0,0,0
"91","Trout",2003,"cisco",33,4428.8260045356,3581.06382746625,623.383196913064,1269.79001954497
"92","Trout",2003,"lake trout",33,0,0,0,0
"93","Trout",2003,"lake whitefish",33,0,0,0,0
"94","Trout",2003,"walleye",33,0,0,0,0
"95","Trout",2003,"white bass",33,0,0,0,0
"96","Trout",2003,"yellow perch",33,0,0,0,0
"97","Trout",2004,"cisco",32,25462.319014191,28575.0487566306,5051.40268713743,10302.4037035797
"98","Trout",2004,"lake trout",32,0,0,0,0
"99","Trout",2004,"lake whitefish",32,0,0,0,0
"100","Trout",2004,"walleye",32,0,0,0,0
"101","Trout",2004,"white bass",32,0,0,0,0
"102","Trout",2004,"yellow perch",32,0,0,0,0
"103","Trout",2005,"cisco",34,6825.66009584287,12057.043901396,2067.76597009053,4206.90149769435
"104","Trout",2005,"lake trout",34,0,0,0,0
"105","Trout",2005,"lake whitefish",34,0,0,0,0
"106","Trout",2005,"walleye",34,0,0,0,0
"107","Trout",2005,"white bass",34,0,0,0,0
"108","Trout",2005,"yellow perch",34,0,0,0,0
"109","Trout",2006,"cisco",33,8141.99728330095,9172.92269085114,1596.8008802862,3252.5769559214
"110","Trout",2006,"lake trout",33,0,0,0,0
"111","Trout",2006,"lake whitefish",33,0,0,0,0
"112","Trout",2006,"walleye",33,0,0,0,0
"113","Trout",2006,"white bass",33,0,0,0,0
"114","Trout",2006,"yellow perch",33,0,0,0,0
"115","Trout",2007,"cisco",32,1259.8482693855,1465.34644718439,259.039102397924,528.313732483021
"116","Trout",2007,"lake trout",32,74.9909684130733,87.2230028059676,15.4189941898882,31.4472459801852
"117","Trout",2007,"lake whitefish",32,59.9927747316795,69.778402245932,12.3351953521153,25.1577967845656
"118","Trout",2007,"walleye",32,104.987355782421,122.112203930764,21.5865918662694,44.0261443731278
"119","Trout",2007,"white bass",32,0,0,0,0
"120","Trout",2007,"yellow perch",32,0,0,0,0
"121","Trout",2008,"cisco",33,574.607639446772,562.818462330119,97.9741186510173,199.566749076373
"122","Trout",2008,"lake trout",33,40.6360241289834,39.8022982049059,6.9286907731597,14.1132812623733
"123","Trout",2008,"lake whitefish",33,54.1813655040742,53.0697309358263,9.23825436350822,18.8177083483957
"124","Trout",2008,"walleye",33,43.4876749450245,42.5954419372248,7.41491468682913,15.1036869645143
"125","Trout",2008,"white bass",33,0,0,0,0
"126","Trout",2008,"yellow perch",33,0,0,0,0
"127","Trout",2009,"cisco",33,417.170943474719,552.139508720467,96.1151514385895,195.78015677698
"128","Trout",2009,"lake trout",33,79.5405932223486,105.27459966347,18.3259555410913,37.3287498924162
"129","Trout",2009,"lake whitefish",33,0,0,0,0
"130","Trout",2009,"walleye",33,59.516387935685,78.7719032451247,13.7124282720803,27.9313023672054
"131","Trout",2009,"white bass",33,0,0,0,0
"132","Trout",2009,"yellow perch",33,0,0,0,0
"133","Trout",2010,"cisco",33,629.766177685187,579.419893327839,100.864056844611,205.453360543442
"134","Trout",2010,"lake trout",33,52.3522005907054,48.1669348957285,8.38478712121912,17.0792524650261
"135","Trout",2010,"lake whitefish",33,40.8039210467307,37.5418757286186,6.53520172701803,13.3117703040011
"136","Trout",2010,"walleye",33,46.9630034694889,43.2085739517068,7.52164727070155,15.3210941234376
"137","Trout",2010,"white bass",33,0,0,0,0
"138","Trout",2010,"yellow perch",33,0,0,0,0
"139","Trout",2011,"cisco",32,148.268041156265,133.709092840345,23.6366515634273,48.2072686913967
"140","Trout",2011,"lake trout",32,91.5773195369216,82.5850279286888,14.5991083182141,29.7750777203952
"141","Trout",2011,"lake whitefish",32,104.659793755193,94.3828890596223,16.6846952205091,34.0286602512543
"142","Trout",2011,"walleye",32,91.5773195369216,82.5850279286888,14.5991083182141,29.7750777203952
"143","Trout",2011,"white bass",32,0,0,0,0
"144","Trout",2011,"yellow perch",32,0,0,0,0
"145","Trout",2012,"cisco",33,0,0,0,0
"146","Trout",2012,"lake trout",33,0,0,0,0
"147","Trout",2012,"lake whitefish",33,0,0,0,0
"148","Trout",2012,"walleye",33,0,0,0,0
"149","Trout",2012,"white bass",33,462.827565476597,503.77155184006,87.695370881482,178.629625015591
"150","Trout",2012,"yellow perch",33,521.911935535889,568.082813776215,98.8905246108807,201.433406932165
"151","Trout",2013,"cisco",33,1619.63485843531,1850.40601373972,322.114341438137,656.125442482034
"152","Trout",2013,"lake trout",33,49.186308062078,56.1945427067105,9.78221427188651,19.9257184232769
"153","Trout",2013,"lake whitefish",33,42.1596926262538,48.1667508943226,8.38475509068568,17.0791872209645
"154","Trout",2013,"walleye",33,45.6730003454469,52.1806468055526,9.08348468216277,18.5024528239064
"155","Trout",2013,"white bass",33,0,0,0,0
"156","Trout",2013,"yellow perch",33,0,0,0,0
"157","Trout",2014,"cisco",33,-3.34793752269481,0.999392601155865,0.173971921388681,0.354369207502423
"158","Trout",2014,"lake trout",33,0,0,0,0
"159","Trout",2014,"lake whitefish",33,0,0,0,0
"160","Trout",2014,"walleye",33,0,0,0,0
"161","Trout",2014,"white bass",33,0,0,0,0
"162","Trout",2014,"yellow perch",33,0,0,0,0
"163","Trout",2015,"cisco",33,1194.47257451732,1225.21293365941,213.282195538034,434.441615657799
"164","Trout",2015,"lake trout",33,31.7678876199235,32.5854503624376,5.67239881735388,11.5542982884718
"165","Trout",2015,"lake whitefish",33,35.5800341356361,36.4957044086828,6.35308667591552,12.9408140840644
"166","Trout",2015,"walleye",33,8.8950085321862,9.12392610175195,1.58827166890599,3.23520352086763
"167","Trout",2015,"white bass",33,0,0,0,0
"168","Trout",2015,"yellow perch",33,0,0,0,0
"169","Trout",2016,"cisco",33,2446.28536751359,2192.2998796733,381.630424205487,777.355735942979
"170","Trout",2016,"lake trout",33,0,0,0,0
"171","Trout",2016,"lake whitefish",33,128.751861447414,115.384204193606,20.0858118003366,40.91345978657
"172","Trout",2016,"walleye",33,0,0,0,0
"173","Trout",2016,"white bass",33,0,0,0,0
"174","Trout",2016,"yellow perch",33,0,0,0,0
"175","Trout",2017,"cisco",33,3329.12615641149,3247.71912671051,565.355332780252,1151.59112824308
"176","Trout",2017,"lake trout",33,10.2434650983729,9.99298192809534,1.73955487005049,3.54335731758424
"177","Trout",2017,"lake whitefish",33,47.8028371178769,46.6339156668959,8.11792272732893,16.5356674829289
"178","Trout",2017,"walleye",33,27.3159069244001,26.6479518076407,4.6388129866945,9.44895284667377
"179","Trout",2017,"white bass",33,0,0,0,0
"180","Trout",2017,"yellow perch",33,0,0,0,0
"181","Trout",2018,"cisco",33,1397.49184310347,1074.77081794905,187.093584678158,381.097160978417
"182","Trout",2018,"lake trout",33,0,0,0,0
"183","Trout",2018,"lake whitefish",33,7.13006042291188,5.48352458226706,0.954559105656498,1.94437327061517
"184","Trout",2018,"walleye",33,21.390181270591,16.4505737448416,2.86367731662836,5.83311981115066
"185","Trout",2018,"white bass",33,0,0,0,0
"186","Trout",2018,"yellow perch",33,0,0,0,0
"187","Trout",2019,"cisco",42,775.725721651124,798.840993012942,123.263841308941,248.93637769739
"188","Trout",2019,"lake trout",42,10.5928932582374,10.9085429730735,1.68322472395068,3.39934129247827
"189","Trout",2019,"lake whitefish",42,28.5193280012329,29.3691541538142,4.53175887148662,9.1520727091284
"190","Trout",2019,"walleye",42,0,0,0,0
"191","Trout",2019,"white bass",42,0,0,0,0
"192","Trout",2019,"yellow perch",42,0,0,0,0
"193","Trout",2020,"cisco",49,744.554584294419,317.370970867418,45.3387101239169,91.159586440997
"194","Trout",2020,"lake whitefish",49,76.1476279381026,32.4583947492648,4.63691353560926,9.32313952279425
"195","Trout",2020,"walleye",49,25.3825426464507,10.8194649165623,1.54563784522319,3.10771317430516
