,lake,year,spp,N,density,sd,se,ci
1,Crystal,2001,rainbow smelt,18,1747.151434,2668.059643,628.8676887,1326.794846
2,Crystal,2001,yellow perch,18,0,0,0,0
3,Crystal,2002,rainbow smelt,18,2425.756226,4414.618627,1040.535589,2195.338195
4,Crystal,2002,yellow perch,18,0,0,0,0
5,Crystal,2003,rainbow smelt,19,1478.581673,2577.344134,591.283296,1242.240108
6,Crystal,2003,yellow perch,19,0,0,0,0
7,Crystal,2005,rainbow smelt,18,858.2373767,1013.171978,238.8069253,503.8385711
8,Crystal,2005,yellow perch,18,0,0,0,0
9,Crystal,2006,rainbow smelt,18,2832.858042,4408.112643,1039.002114,2192.102846
10,Crystal,2006,yellow perch,18,0,0,0,0
11,Crystal,2007,rainbow smelt,18,4059.402487,8243.565049,1943.026916,4099.428455
12,Crystal,2007,yellow perch,18,0,0,0,0
13,Crystal,2008,rainbow smelt,17,527.8851366,1094.735228,265.5122927,562.8609164
14,Crystal,2008,yellow perch,17,10.77316605,22.34153526,5.418618219,11.48695748
15,Crystal,2009,rainbow smelt,24,1848.371119,4352.030483,888.3545024,1837.701302
16,Crystal,2009,yellow perch,24,0,0,0,0
17,Crystal,2010,rainbow smelt,18,1301.582975,1937.94467,456.7779392,963.7172117
18,Crystal,2010,yellow perch,18,64.19139543,95.57544542,22.52734852,47.52855084
19,Crystal,2011,rainbow smelt,17,4594.47049,10169.96213,2466.578122,5228.912032
20,Crystal,2011,yellow perch,17,231.6539743,512.7711999,124.3652835,263.6426235
21,Crystal,2012,rainbow smelt,17,3770.187546,7526.984276,1825.561836,3870.01821
22,Crystal,2012,yellow perch,17,190.0934897,379.5118122,92.04513459,195.1269686
23,Crystal,2013,rainbow smelt,19,2444.693919,3409.778552,782.2568489,1643.460655
24,Crystal,2013,yellow perch,19,198.2184259,276.4685312,63.42623099,133.2535666
25,Crystal,2014,rainbow smelt,18,2921.729943,4321.096609,1018.492238,2148.83079
26,Crystal,2014,yellow perch,18,29.51242366,43.6474405,10.28780039,21.70536151
27,Crystal,2015,rainbow smelt,19,145.1501077,266.5521738,61.15126258,128.4740353
28,Crystal,2015,yellow perch,19,68.30593303,125.4363171,28.77706474,60.45836957
29,Crystal,2016,rainbow smelt,19,469.2976113,779.2985436,178.7833473,375.6098747
30,Crystal,2016,yellow perch,19,103.0165488,171.065534,39.24512501,82.45094811
31,Crystal,2017,rainbow smelt,19,75.49219879,126.9700797,29.12893402,61.19761949
32,Crystal,2017,yellow perch,19,46.26941216,77.82037144,17.85321762,37.50821839
33,Crystal,2018,rainbow smelt,30,149.7276833,289.9679488,52.94066216,108.2758115
34,Crystal,2018,yellow perch,30,122.5044681,237.2465035,43.31508723,88.58930034
35,Crystal,2019,rainbow smelt,20,57.74815106,123.5163061,27.61908568,57.80741068
36,Crystal,2019,yellow perch,20,60.10521845,128.557788,28.7463953,60.16689683
37,Crystal,2020,rainbow smelt,15,61.28848041,26.71047599,6.896615245,14.79176857
38,Crystal,2020,yellow perch,15,77.37323998,33.72046516,8.706586667,18.67377118
39,Sparkling,2001,rainbow smelt,18,9321.494467,16455.08159,3878.499926,8182.919563
40,Sparkling,2001,walleye,18,0,0,0,0
41,Sparkling,2002,rainbow smelt,18,7180.444692,12261.98353,2890.177235,6097.740954
42,Sparkling,2002,walleye,18,0,0,0,0
43,Sparkling,2003,rainbow smelt,18,9626.313779,25014.18891,5895.900868,12439.2635
44,Sparkling,2003,walleye,18,0,0,0,0
45,Sparkling,2004,rainbow smelt,18,14.12956926,17.54999631,4.1365738,8.727407842
46,Sparkling,2004,walleye,18,0,0,0,0
47,Sparkling,2005,rainbow smelt,17,2682.423542,3573.514997,866.7046935,1837.331873
48,Sparkling,2005,walleye,17,0,0,0,0
49,Sparkling,2006,rainbow smelt,16,9627.746926,9723.685313,2430.921328,5181.38616
50,Sparkling,2006,walleye,16,0,0,0,0
51,Sparkling,2007,rainbow smelt,34,4559.082751,7155.855712,1227.21913,2496.796093
52,Sparkling,2007,walleye,34,0,0,0,0
53,Sparkling,2008,rainbow smelt,17,4.852985754,3.456542234,0.838334631,1.777190027
54,Sparkling,2008,walleye,17,0.150092342,0.106903367,0.025927875,0.054964639
55,Sparkling,2009,rainbow smelt,17,18258.82433,28297.09004,6863.052421,14549.0212
56,Sparkling,2009,walleye,17,0,0,0,0
57,Sparkling,2010,rainbow smelt,16,2297.377717,2696.551824,674.137956,1436.89104
58,Sparkling,2010,walleye,16,0,0,0,0
59,Sparkling,2011,rainbow smelt,17,7816.722793,13713.95506,3326.122662,7051.065058
60,Sparkling,2011,walleye,17,0,0,0,0
61,Sparkling,2012,rainbow smelt,17,5124.177557,9424.764117,2285.841056,4845.766568
62,Sparkling,2012,walleye,17,327.0751632,601.5806883,145.9047483,309.304249
63,Sparkling,2013,rainbow smelt,17,1588.467763,1416.781099,343.6198893,728.4416243
64,Sparkling,2013,walleye,17,176.4964181,157.4201221,38.1799877,80.93795826
65,Sparkling,2014,rainbow smelt,17,4847.228983,5180.564217,1256.47138,2663.600338
66,Sparkling,2014,walleye,17,0,0,0,0
67,Sparkling,2015,rainbow smelt,17,3622.592688,3222.935485,781.6766723,1657.08052
68,Sparkling,2015,walleye,17,0,0,0,0
69,Sparkling,2016,rainbow smelt,18,4931.432772,6418.527072,1512.861339,3191.858421
70,Sparkling,2016,walleye,18,0,0,0,0
71,Sparkling,2017,rainbow smelt,19,3382.956172,3675.209369,843.1508545,1771.394213
72,Sparkling,2017,walleye,19,0,0,0,0
73,Sparkling,2018,rainbow smelt,36,18.70348089,30.02775402,5.004625671,10.15993025
74,Sparkling,2018,walleye,36,260.4529503,418.1476792,69.69127987,141.4808198
75,Sparkling,2019,rainbow smelt,19,1159.287898,1524.004903,349.6307032,734.5468502
76,Sparkling,2019,walleye,19,0,0,0,0
77,Sparkling,2020,rainbow smelt,30,1234.8575,453.572255,82.81058518,169.3666635
78,Sparkling,2020,walleye,30,0,0,0,0
79,Trout,2001,cisco,32,3972.938538,5311.066802,938.8728377,1914.843777
80,Trout,2001,lake trout,32,0,0,0,0
81,Trout,2001,lake whitefish,32,0,0,0,0
82,Trout,2001,walleye,32,0,0,0,0
83,Trout,2001,white bass,32,0,0,0,0
84,Trout,2001,yellow perch,32,0,0,0,0
85,Trout,2002,cisco,32,2983.891709,4375.578401,773.5002897,1577.564242
86,Trout,2002,lake trout,32,0,0,0,0
87,Trout,2002,lake whitefish,32,0,0,0,0
88,Trout,2002,walleye,32,0,0,0,0
89,Trout,2002,white bass,32,0,0,0,0
90,Trout,2002,yellow perch,32,0,0,0,0
91,Trout,2003,cisco,33,4428.826005,3581.063827,623.3831969,1269.79002
92,Trout,2003,lake trout,33,0,0,0,0
93,Trout,2003,lake whitefish,33,0,0,0,0
94,Trout,2003,walleye,33,0,0,0,0
95,Trout,2003,white bass,33,0,0,0,0
96,Trout,2003,yellow perch,33,0,0,0,0
97,Trout,2004,cisco,32,25462.31901,28575.04876,5051.402687,10302.4037
98,Trout,2004,lake trout,32,0,0,0,0
99,Trout,2004,lake whitefish,32,0,0,0,0
100,Trout,2004,walleye,32,0,0,0,0
101,Trout,2004,white bass,32,0,0,0,0
102,Trout,2004,yellow perch,32,0,0,0,0
103,Trout,2005,cisco,34,6825.660096,12057.0439,2067.76597,4206.901498
104,Trout,2005,lake trout,34,0,0,0,0
105,Trout,2005,lake whitefish,34,0,0,0,0
106,Trout,2005,walleye,34,0,0,0,0
107,Trout,2005,white bass,34,0,0,0,0
108,Trout,2005,yellow perch,34,0,0,0,0
109,Trout,2006,cisco,33,8141.997283,9172.922691,1596.80088,3252.576956
110,Trout,2006,lake trout,33,0,0,0,0
111,Trout,2006,lake whitefish,33,0,0,0,0
112,Trout,2006,walleye,33,0,0,0,0
113,Trout,2006,white bass,33,0,0,0,0
114,Trout,2006,yellow perch,33,0,0,0,0
115,Trout,2007,cisco,32,1259.848269,1465.346447,259.0391024,528.3137325
116,Trout,2007,lake trout,32,74.99096841,87.22300281,15.41899419,31.44724598
117,Trout,2007,lake whitefish,32,59.99277473,69.77840225,12.33519535,25.15779678
118,Trout,2007,walleye,32,104.9873558,122.1122039,21.58659187,44.02614437
119,Trout,2007,white bass,32,0,0,0,0
120,Trout,2007,yellow perch,32,0,0,0,0
121,Trout,2008,cisco,33,574.6076394,562.8184623,97.97411865,199.5667491
122,Trout,2008,lake trout,33,40.63602413,39.8022982,6.928690773,14.11328126
123,Trout,2008,lake whitefish,33,54.1813655,53.06973094,9.238254364,18.81770835
124,Trout,2008,walleye,33,43.48767495,42.59544194,7.414914687,15.10368696
125,Trout,2008,white bass,33,0,0,0,0
126,Trout,2008,yellow perch,33,0,0,0,0
127,Trout,2009,cisco,33,417.1709435,552.1395087,96.11515144,195.7801568
128,Trout,2009,lake trout,33,79.54059322,105.2745997,18.32595554,37.32874989
129,Trout,2009,lake whitefish,33,0,0,0,0
130,Trout,2009,walleye,33,59.51638794,78.77190325,13.71242827,27.93130237
131,Trout,2009,white bass,33,0,0,0,0
132,Trout,2009,yellow perch,33,0,0,0,0
133,Trout,2010,cisco,33,629.7661777,579.4198933,100.8640568,205.4533605
134,Trout,2010,lake trout,33,52.35220059,48.1669349,8.384787121,17.07925247
135,Trout,2010,lake whitefish,33,40.80392105,37.54187573,6.535201727,13.3117703
136,Trout,2010,walleye,33,46.96300347,43.20857395,7.521647271,15.32109412
137,Trout,2010,white bass,33,0,0,0,0
138,Trout,2010,yellow perch,33,0,0,0,0
139,Trout,2011,cisco,32,148.2680412,133.7090928,23.63665156,48.20726869
140,Trout,2011,lake trout,32,91.57731954,82.58502793,14.59910832,29.77507772
141,Trout,2011,lake whitefish,32,104.6597938,94.38288906,16.68469522,34.02866025
142,Trout,2011,walleye,32,91.57731954,82.58502793,14.59910832,29.77507772
143,Trout,2011,white bass,32,0,0,0,0
144,Trout,2011,yellow perch,32,0,0,0,0
145,Trout,2012,cisco,33,446.371,0,0,0
146,Trout,2012,lake trout,33,35.84,0,0,0
147,Trout,2012,lake whitefish,33,44.52,0,0,0
148,Trout,2012,walleye,33,16.29,0,0,0
149,Trout,2012,white bass,33,0,0,0,0
150,Trout,2012,yellow perch,33,0,0,0,0
151,Trout,2013,cisco,33,1619.634858,1850.406014,322.1143414,656.1254425
152,Trout,2013,lake trout,33,49.18630806,56.19454271,9.782214272,19.92571842
153,Trout,2013,lake whitefish,33,42.15969263,48.16675089,8.384755091,17.07918722
154,Trout,2013,walleye,33,45.67300035,52.18064681,9.083484682,18.50245282
155,Trout,2013,white bass,33,0,0,0,0
156,Trout,2013,yellow perch,33,0,0,0,0
157,Trout,2014,cisco,33,2647.436152,0,0,0
158,Trout,2014,lake trout,33,0,0,0,0
159,Trout,2014,lake whitefish,33,0,0,0,0
160,Trout,2014,walleye,33,0,0,0,0
161,Trout,2014,white bass,33,0,0,0,0
162,Trout,2014,yellow perch,33,0,0,0,0
163,Trout,2015,cisco,33,1194.472575,1225.212934,213.2821955,434.4416157
164,Trout,2015,lake trout,33,31.76788762,32.58545036,5.672398817,11.55429829
165,Trout,2015,lake whitefish,33,35.58003414,36.49570441,6.353086676,12.94081408
166,Trout,2015,walleye,33,8.895008532,9.123926102,1.588271669,3.235203521
167,Trout,2015,white bass,33,0,0,0,0
168,Trout,2015,yellow perch,33,0,0,0,0
169,Trout,2016,cisco,33,2446.285368,2192.29988,381.6304242,777.3557359
170,Trout,2016,lake trout,33,0,0,0,0
171,Trout,2016,lake whitefish,33,128.7518614,115.3842042,20.0858118,40.91345979
172,Trout,2016,walleye,33,0,0,0,0
173,Trout,2016,white bass,33,0,0,0,0
174,Trout,2016,yellow perch,33,0,0,0,0
175,Trout,2017,cisco,33,3329.126156,3247.719127,565.3553328,1151.591128
176,Trout,2017,lake trout,33,10.2434651,9.992981928,1.73955487,3.543357318
177,Trout,2017,lake whitefish,33,47.80283712,46.63391567,8.117922727,16.53566748
178,Trout,2017,walleye,33,27.31590692,26.64795181,4.638812987,9.448952847
179,Trout,2017,white bass,33,0,0,0,0
180,Trout,2017,yellow perch,33,0,0,0,0
181,Trout,2018,cisco,33,1397.491843,1074.770818,187.0935847,381.097161
182,Trout,2018,lake trout,33,0,0,0,0
183,Trout,2018,lake whitefish,33,7.130060423,5.483524582,0.954559106,1.944373271
184,Trout,2018,walleye,33,21.39018127,16.45057374,2.863677317,5.833119811
185,Trout,2018,white bass,33,0,0,0,0
186,Trout,2018,yellow perch,33,0,0,0,0
187,Trout,2019,cisco,42,775.7257217,798.840993,123.2638413,248.9363777
188,Trout,2019,lake trout,42,10.59289326,10.90854297,1.683224724,3.399341292
189,Trout,2019,lake whitefish,42,28.519328,29.36915415,4.531758871,9.152072709
190,Trout,2019,walleye,42,0,0,0,0
191,Trout,2019,white bass,42,0,0,0,0
192,Trout,2019,yellow perch,42,0,0,0,0
193,Trout,2020,cisco,49,744.5545843,317.3709709,45.33871012,91.15958644
194,Trout,2020,lake whitefish,49,76.14762794,32.45839475,4.636913536,9.323139523
195,Trout,2020,walleye,49,25.38254265,10.81946492,1.545637845,3.107713174
196,Trout,2021,cisco,,1609.780784,,,
197,Trout,2021,lake whitefish,,33.91619204,,,
198,Trout,2021,walleye,,55.81557697,,,
199,Trout,2022,cisco,,2330.888394,,,
200,Trout,2022,lake trout,,7.417766561,,,
201,Trout,2022,lake whitefish,,25.48152507,,,
202,Trout,2022,walleye,,17.88045476,,,
203,Trout,2023,cisco,,712.7372385,,,
204,Trout,2023,lake trout,,3.619307837,,,
205,Trout,2023,lake whitefish,,14.4772319,,,
206,Trout,2023,walleye,,7.350901571,,,
